USD,ARS,50,2,1
USD,BRL,30,2,4
USD,EUR,70,2,3
ARS,USD,20,1,2
ARS,BRL,40,1,4
ARS,EUR,10,1,3
EUR,USD,60,3,2
EUR,ARS,80,3,1
EUR,BRL,90,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
USD,EUR,40,2,3
ARS,USD,50,1,2
ARS,BRL,60,1,4
ARS,EUR,70,1,3
EUR,USD,80,3,2
EUR,ARS,90,3,1
EUR,BRL,100,3,4
BRL,USD,15,4,2
BRL,ARS,25,4,1
BRL,EUR,35,4,3
USD,ARS,45,2,1
USD,BRL,55,2,4
USD,EUR,65,2,3
ARS,USD,75,1,2
ARS,BRL,85,1,4
ARS,EUR,95,1,3
EUR,USD,5,3,2
EUR,ARS,15,3,1
EUR,BRL,25,3,4
BRL,USD,35,4,2
BRL,ARS,45,4,1
BRL,EUR,55,4,3
USD,ARS,65,2,1
USD,BRL,75,2,4
USD,EUR,85,2,3
ARS,USD,95,1,2
ARS,BRL,10,1,4
ARS,EUR,20,1,3
EUR,USD,30,3,2
EUR,ARS,40,3,1
EUR,BRL,50,3,4
BRL,USD,60,4,2
BRL,ARS,70,4,1
BRL,EUR,80,4,3
USD,ARS,90,2,1
USD,BRL,100,2,4
USD,EUR,15,2,3
ARS,USD,25,1,2
ARS,BRL,35,1,4
ARS,EUR,45,1,3
EUR,USD,55,3,2
EUR,ARS,65,3,1
EUR,BRL,75,3,4
BRL,USD,85,4,2
BRL,ARS,95,4,1
BRL,EUR,10,4,3
USD,ARS,20,2,1
USD,BRL,30,2,4
